DATE,Billion Cubic Feet,Price,Unemployment Rate
2005/12/01,2326.4,13.0490476,4.6
2006/01/01,2165.3,8.685,5.1
2006/02/01,2144.4,7.52526316,5.1
2006/03/01,2126.4,6.88,4.8
2006/04/01,1681,7.16842105,4.5
2006/05/01,1526.3,6.23590909,4.4
2006/06/01,1550.9,6.20363636,4.8
2006/07/01,1758.7,6.17315789,5
2006/08/01,1751.7,7.1326087,4.6
2006/09/01,1462.1,4.897,4.4
2006/10/01,1644.2,5.84363636,4.1
2006/11/01,1765.4,7.41,4.3
2006/12/01,2122.8,6.7295,4.3
2007/01/01,2475.6,6.5855,5
2007/02/01,2567,8.00473684,4.9
2007/03/01,2128.9,7.11,4.5
2007/04/01,1810.1,7.599,4.3
2007/05/01,1559.1,7.64090909,4.3
2007/06/01,1555.2,7.34714286,4.7
2007/07/01,1659.9,6.22285714,4.9
2007/08/01,1896.1,6.22826087,4.6
2007/09/01,1590.5,6.06894737,4.5
2007/10/01,1627.8,6.73565217,4.4
2007/11/01,1834.5,7.1055,4.5
2007/12/01,2399.2,7.13144737,4.8
2008/01/01,2734,7.98285714,5.4
2008/02/01,2503.4,8.5455,5.2
2008/03/01,2278.2,9.411,5.2
2008/04/01,1823.9,10.18,4.8
2008/05/01,1576.4,11.267619,5.2
2008/06/01,1604.3,12.682381,5.7
2008/07/01,1708.6,11.0836364,6
2008/08/01,1682.9,8.25142857,6.1
2008/09/01,1460.9,7.62105263,6
2008/10/01,1635.8,6.73608696,6.1
2008/11/01,1869,6.69666667,6.5
2008/12/01,2399.7,5.83619048,7.1
2009/01/01,2729.7,5.233,8.5
2009/02/01,2332.5,4.50578947,8.9
2009/03/01,2170.7,3.95772727,9
2009/04/01,1741.3,3.4947619,8.6
2009/05/01,1504,3.8315,9.1
2009/06/01,1527.8,3.8,9.7
2009/07/01,1658,3.38136364,9.7
2009/08/01,1736.5,3.13904762,9.6
2009/09/01,1575,2.98619048,9.5
2009/10/01,1666.5,3.99909091,9.5
2009/11/01,1776.2,3.67684211,9.4
2009/12/01,2491.9,5.34363636,9.7
2010/01/01,2809.8,5.82421053,10.6
2010/02/01,2481,5.31526316,10.4
2010/03/01,2142.9,4.29086957,10.2
2010/04/01,1691.8,4.03285714,9.5
2010/05/01,1617.3,4.138,9.3
2010/06/01,1649.5,4.80136364,9.6
2010/07/01,1825.8,4.62809524,9.7
2010/08/01,1878.9,4.31454545,9.5
2010/09/01,1637.5,3.8947619,9.2
2010/10/01,1664.9,3.43380952,9
2010/11/01,1973.3,3.714,9.3
2010/12/01,2714.1,4.24571429,9.1
2011/01/01,2888.6,4.492,9.8
2011/02/01,2452.4,4.09210526,9.5
2011/03/01,2230.5,3.97217391,9.2
2011/04/01,1825,4.2355,8.7
2011/05/01,1667.4,4.31380952,8.7
2011/06/01,1657.3,4.53738636,9.3
2011/07/01,1890.5,4.4225,9.3
2011/08/01,1891.8,4.05391304,9.1
2011/09/01,1655.6,3.89,8.8
2011/10/01,1744.5,3.56380952,8.5
2011/11/01,2031.9,3.264,8.2
2011/12/01,2541.9,3.16285714,8.3
2012/01/01,2756.2,2.67727,8.8
2012/02/01,2500.7,2.50486,8.7
2012/03/01,2127.8,2.16363636,8.4
2012/04/01,1953.1,1.94875,7.7
2012/05/01,1873.8,2.43272727,7.9
2012/06/01,1868.4,2.45857143,8.4
2012/07/01,2069.8,2.95400476,8.6
2012/08/01,2008.8,2.84054783,8.2
2012/09/01,1807.2,2.85210526,7.6
2012/10/01,1901.1,3.31913043,7.5
2012/11/01,2167.8,3.5395,7.4
2012/12/01,2503.9,3.338235,7.6
2013/01/01,2878.8,3.33857143,8.5
2013/02/01,2567.2,3.3055,8.1
2013/03/01,2521.1,3.78428571,7.6
2013/04/01,1967.5,4.16136364,7.1
2013/05/01,1752.5,4.07434783,7.3
2013/06/01,1742.9,3.806,7.8
2013/07/01,1926.3,3.64304348,7.7
2013/08/01,1927.4,3.41227273,7.3
2013/09/01,1767,3.61571429,7
2013/10/01,1866.8,3.65521739,7
2013/11/01,2316.9,3.65142857,6.6
2013/12/01,2920.8,4.28363636,6.5
2014/01/01,3204.1,4.52826087,7
2014/02/01,2741.2,5.1635,7
2014/03/01,2557.9,4.4847619,6.8
2014/04/01,1961.7,4.61409091,5.9
2014/05/01,1810.2,4.52863636,6.1
2014/06/01,1745.4,4.59333333,6.3
2014/07/01,1881,4.04173913,6.5
2014/08/01,1933.1,3.89904762,6.3
2014/09/01,1809.3,3.92636364,5.7
2014/10/01,1912.8,3.80130435,5.5
2014/11/01,2357.5,4.2395,5.5
2014/12/01,2679.2,3.48652174,5.4
2015/01/01,3115,2.93636364,6.1
2015/02/01,2925.2,2.7565,5.8
2015/03/01,2591.3,2.74636364,5.6
2015/04/01,2007.9,2.59636364,5.1
2015/05/01,1858.2,2.85761905,5.3
2015/06/01,1899.9,2.76863636,5.5
2015/07/01,2067.7,2.80913043,5.6
2015/08/01,2052.7,2.75285714,5.2
2015/09/01,1901.3,2.63818182,4.9
2015/10/01,1987.3,2.38454545,4.8
2015/11/01,2249.1,2.27571429,4.8
2015/12/01,2588.2,2.04217391,4.8
2016/01/01,3091.7,2.23238095,5.3
2016/02/01,2652.3,1.93047619,5.2
2016/03/01,2356.3,1.8126087,5.1
2016/04/01,2083.9,2.01428571,4.7
2016/05/01,1965.8,2.08727273,4.5
2016/06/01,2000.7,2.62363636,5.1
2016/07/01,2186.6,2.77285714,5.1
2016/08/01,2208.4,2.72217391,5
2016/09/01,1947.8,2.89863636,4.8
2016/10/01,1925.2,3.07238095,4.7
2016/11/01,2159.5,2.87909091,4.4
2016/12/01,2866.3,3.58545455,4.5
2017/01/01,2913.8,3.31590909,5.1
2017/02/01,2340.2,2.9015,4.9
2017/03/01,2523.3,2.99173913,4.6
2017/04/01,1932,3.1915,4.1
2017/05/01,1892,3.23565217,4.1
2017/06/01,1910.4,2.99363636,4.5
2017/07/01,2141.6,2.95428571,4.6
2017/08/01,2093.8,2.90391304,4.5
2017/09/01,1920.5,3.00904762,4.1
2017/10/01,2031.5,2.91181818,3.9
2017/11/01,2357.3,3.05363636,3.9
2017/12/01,3086,2.76952381,3.9
2018/01/01,3340.9,3.15173913,4.5
2018/02/01,2710.7,2.658,4.4
2018/03/01,2796.7,2.70090909,4.1
2018/04/01,2350.5,2.72380952,3.7
2018/05/01,2055,2.83391304,3.6
2018/06/01,2063.1,2.94142857,4.2
2018/07/01,2350.7,2.79318182,4.1
2018/08/01,2313.8,2.90826087,3.9
2018/09/01,2156.1,2.8975,3.6
2018/10/01,2285.9,3.2073913,3.5
2018/11/01,2715.9,4.10818182,3.5
2018/12/01,2999.5,3.90428571,3.7
2019/01/01,3424.3,3.10869565,4.4
2019/02/01,3019.1,2.6795,4.1
2019/03/01,2927.8,2.80333333,3.9
2019/04/01,2212.4,2.59727273,3.3
2019/05/01,2134,2.59173913,3.4
2019/06/01,2119.3,2.33,3.8
2019/07/01,2393.9,2.30217391,4
2019/08/01,2433.9,2.17363636,3.8
2019/09/01,2206.3,2.50714286,3.3
2019/10/01,2306.5,2.34086957,3.3
2019/11/01,2783.8,2.6252381,3.3
2019/12/01,3170.7,2.28272727,3.4
2020/01/01,3327.3,2.03391304,4
2020/02/01,3062.3,1.845,3.8
2020/03/01,2725.5,1.73318182,4.5
2020/04/01,2263.6,1.76363636,14.4
2020/05/01,2076.7,1.80904762,13
2020/06/01,2134.2,1.69954545,11.2
2020/07/01,2468.3,1.76478261,10.5
2020/08/01,2404.3,2.34047619,8.5
2020/09/01,2157,2.285,7.7
2020/10/01,2320.5,2.82909091,6.6
2020/11/01,2446.6,2.87047619,6.4
2020/12/01,3188.2,2.58478261,6.5
2021/01/01,3335.2,2.64904762,6.8
2021/02/01,3095.7,2.917,6.6
2021/03/01,2640.1,2.62217391,6.2
2021/04/01,2271.6,2.68363636,5.7
2021/05/01,2116.4,2.96142857,5.5
2021/06/01,2242,3.27272727,6.1
2021/07/01,2417.6,3.80954545,5.7
2021/08/01,2436.3,4.03227273,5.3
2021/09/01,2138.2,5.09681818,4.6
2021/10/01,2259.3,5.57142857,4.3
2021/11/01,2685,5.11909091,3.9
2021/12/01,3008.2,3.85826087,3.7
2022/01/01,3593.3,4.23333333,4.4
2022/02/01,3059.1,4.475,4.1
2022/03/01,2780.6,4.97130435,3.8
2022/04/01,2360.4,6.7447619,3.3
2022/05/01,2241.4,8.16,3.4
2022/06/01,2316.8,7.57090909,3.8
2022/07/01,2582.8,7.10904762,3.8
2022/08/01,2559.3,8.7773913,3.8
2022/09/01,2288,7.835,3.3
2022/10/01,2363.7,6.09380952,3.4
2022/11/01,2767,6.47818182,3.4
2022/12/01,3375.9,5.74681818,3.3
2023/01/01,3303.5,3.47136364,3.9
2023/02/01,2948.5,2.438,3.9
2023/03/01,3013.6,2.40913043,3.6
2023/04/01,2421,2.1955,3.1
2023/05/01,2314.7,2.31521739,3.4
2023/06/01,2363.4,2.47909091,3.8
2023/07/01,2665.8,2.64380952,3.8
2023/08/01,2673.2,2.64826087,3.9
2023/09/01,2373.3,2.70047619,3.6
2023/10/01,2438,3.16636364,3.6
2023/11/01,2822.2,3.05545455,3.5
2023/12/01,3169,2.5347619,3.5
2024/01/01,3695.4,2.72043478,4.1
2024/02/01,2968.3,1.79333333,4.2
2024/03/01,2792.9,1.74714286,3.9
2024/04/01,2394.9,1.78681818,3.5
